UUID Ending,kind,doc_id_val,doc_id_score,doc_date_sic_val,doc_date_sic_score,doc_date_parsed,doc_subject_val,doc_subject_score
10,INVOICE,DOC123,0.99,2024-01-01,0.9,2024-01-01T10:00:00Z,KFZ Reparatur,0.8
11,INVOICE,DOC124,0.89,2025-03-12,0.7,2025-03-12T00:00:00Z,Ihr Einkauf vielen Dank,0.8
12,INVOICE,DOC125,0.79,2025-03-13,0.6,2025-03-13T00:00:00Z,Ihr Einkauf vielen Dank,0.7
13,INVOICE,DOC126,0.69,2025-03-13,0.5,2025-03-13T00:00:00Z,Ihr Einkauf vielen Dank,0.6
14,INVOICE,DOC127,0.59,2025-02-12,0.5,2025-02-12T00:00:00Z,Ihr Einkauf vielen Dank,0.5
15,INVOICE,DOC128,0.49,2025-01-11,0.4,2025-01-11T00:00:00Z,Ihr Einkauf vielen Dank,0.4
17,INVOICE,DOC129,0.39,2024-12-10,0.3,2024-12-10T00:00:00Z,Ihr Einkauf vielen Dank,0.3
18,INVOICE,DOC130,0.29,2024-11-11,0.2,2024-11-11T00:00:00Z,Ihr Einkauf vielen Dank,0.2
19,INVOICE,DOC131,0.19,2024-10-09,0.1,2024-10-09T00:00:00Z,Ihr Einkauf vielen Dank,0.1
20,STATEMENT,DE92 1234 5678 9123 87,0.99,2025-04-01,0.9,2025-04-01T00:00:00Z,Kontoauszug 3-25,0.7
21,STATEMENT,DE92 1234 5678 9123 87,0.89,2025-03-01,0.9,2025-03-01T00:00:00Z,Kontoauszug 2-25,0.7
22,STATEMENT,DE92 1234 5678 9123 87,0.79,2025-02-01,0.9,2025-02-01T00:00:00Z,Kontoauszug 1-25,0.7
23,STATEMENT,DE92 1234 5678 9123 87,0.69,2025-01-01,0.9,2025-01-01T00:00:00Z,Kontoauszug 12-24,0.7
24,STATEMENT,DE92 1234 5678 9123 87,0.59,2024-12-01,0.9,2024-12-01T00:00:00Z,Kontoauszug 11-24,0.7
25,STATEMENT,DE92 1234 5678 9123 87,0.49,2024-11-01,0.9,2024-11-01T00:00:00Z,Kontoauszug 10-24,0.7
26,STATEMENT,DE92 1234 5678 9123 87,0.39,2024-10-01,0.9,2024-10-01T00:00:00Z,Kontoauszug 09-24,0.7
27,STATEMENT,DE92 1234 5678 9123 87,0.29,2024-09-01,0.9,2024-09-01T00:00:00Z,Kontoauszug 08-24,0.7
28,STATEMENT,DE92 1234 5678 9123 87,0.19,2024-08-01,0.9,2024-08-01T00:00:00Z,Kontoauszug 07-24,0.7
29,STATEMENT,DE92 1234 5678 9123 87,0.09,2024-07-01,0.9,2024-07-01T00:00:00Z,Kontoauszug 06-24,0.7
30,LETTER,K7-22389,0.99,2025-04-21,0.99,2025-04-21T00:00:00Z,Versicherungsfall 4711,0.7
31,LETTER,K7-22389,0.89,2025-04-01,0.89,2025-04-01T00:00:00Z,Versicherungsfall 4711,0.7
32,LETTER,K7-22389,0.79,2025-03-11,0.79,2025-03-11T00:00:00Z,Beitragsanpassung,0.7
33,LETTER,B-2025-SSA-KGA,0.69,2025-01-12,0.69,2025-01-12T00:00:00Z,Kindergeld Bertram,0.7
34,LETTER,Klasse 7b,0.59,2024-12-22,0.59,2024-12-22T00:00:00Z,Einladung zum Elternabend,0.7
35,LETTER,Wandern,0.49,2024-11-10,0.49,2024-11-10T00:00:00Z,Wanderfreunde Bergisch-Gladbach,0.7
36,LETTER,Lotto-DE,0.39,2024-10-01,0.39,2024-10-01T00:00:00Z,Hxx-123-so-aaaayxy,0.2
37,LETTER,,0.29,2024-09-01,0.29,2024-09-01T00:00:00Z,,0.0
38,LETTER,,0.19,2024-08-01,0.19,2024-08-01T00:00:00Z,,0.0
39,LETTER,,0.09,2024-07-01,0.09,2024-07-01T00:00:00Z,,0.0
